  PID  PPID STAT COMMAND
  545     1 S    /usr/libexec/swcd
  546     1 S    /usr/libexec/siriknowledged
  547     1 S    /Applications/Spotify.app/Contents/MacOS/Spotify
  548     1 Ss   /usr/libexec/aned
  549     1 Ss   /usr/libexec/online-authd
  550     1 Ss   /System/Library/PrivateFrameworks/CoreEmbeddedSpeechRecognition.framework/Versions/A/XPCServices/com.apple.siri.embeddedspeech.xpc/Contents/MacOS/com.apple.siri.embeddedspeech
  551     1 S    /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  552     1 SN   /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
  554     1 S    /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  556     1 S    /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  560     1 S    /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
  561     1 S    /System/Library/Image Capture/Support/icdd
  562     1 S    /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
  564     1 S    /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  566     1 S    /System/Library/CoreServices/cloudpaird
  568     1 S    /System/Library/CoreServices/diagnostics_agent
  569     1 S    /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
  570     1 S    /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
  572     1 Ss   /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  573     1 S    /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  574     1 S    /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
  577     1 S    SafeEjectGPUAgent
  578     1 S    /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents/XPCServices/SafeEjectGPUService.xpc/Contents/MacOS/SafeEjectGPUService
  579     1 S    /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  580   410 S    /Users/kasturi/Library/Application Support/BitTorrent Web/helper.app/Contents/MacOS/helper 49268 -- ut_web/1.5.0.6261 hval/5F4D7700D7AF457BBFAE024BC9922A0C
  584     1 S    /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
